"term","df","administzone_nm","data_crtr_pnttm"
"경찰청_교통안전","4","단양군","20240512"
"국토교통부_자동차운영보험","4","단양군","20240512"
"보건복지부_장애인권익지원","4","단양군","20240512"
"불법자동차_신고","4","단양군","20240512"
"산업통상자원부_자동차","4","단양군","20240512"
"소방차전용구역_불법주차","4","단양군","20240512"
"장애인전용구역_불법주차","4","단양군","20240512"
"친환경차_충전구역","4","단양군","20240512"
"친환경차_충전구역_불법주차","4","단양군","20240512"
"행정안전부_예방안전제도과","4","단양군","20240512"
"불법_주정차","3","단양군","20240512"
"불법_주정차_신고","3","단양군","20240512"
"주정차_신고","3","단양군","20240512"
"횡단보도_불법_주정차_신고","3","단양군","20240512"
"결혼_이민","1","단양군","20240512"
"결혼_이민_지역_주민","1","단양군","20240512"
"경기도_성남시","1","단양군","20240512"
"단기_알바","1","단양군","20240512"
"단양_특산물","1","단양군","20240512"
"단양_특산빵","1","단양군","20240512"
"단양군_농어촌버스","1","단양군","20240512"
"단양군_농어촌버스_읍내","1","단양군","20240512"
"단양군_단성면","1","단양군","20240512"
"단양군_단성면_가산리","1","단양군","20240512"
"번호판_훼손","1","단양군","20240512"
"수정구_금토동","1","단양군","20240512"
"시설물_파손","1","단양군","20240512"
"안전_신고","1","단양군","20240512"
"영춘면_소재","1","단양군","20240512"
"영춘면_소재_카페","1","단양군","20240512"
"영춘면_소재지","1","단양군","20240512"
"자동차_표지","1","단양군","20240512"
"장애인_허위","1","단양군","20240512"
"장애인_허위_자동차_표지","1","단양군","20240512"
"지역_특산","1","단양군","20240512"
"지역_특산_농산물","1","단양군","20240512"
"차량용_신호","1","단양군","20240512"
"책임_운영","1","단양군","20240512"
"허위_자동차","1","단양군","20240512"
"경찰청_교통안전","10","음성군","20240512"
"국토교통부_자동차운영보험","10","음성군","20240512"
"보건복지부_장애인권익지원","10","음성군","20240512"
"불법자동차_신고","10","음성군","20240512"
"산업통상자원부_자동차","10","음성군","20240512"
"소방차전용구역_불법주차","10","음성군","20240512"
"장애인전용구역_불법주차","10","음성군","20240512"
"친환경차_충전구역","10","음성군","20240512"
"친환경차_충전구역_불법주차","10","음성군","20240512"
"행정안전부_예방안전제도과","10","음성군","20240512"
"불법_주정차","5","음성군","20240512"
"불법_주정차_신고","5","음성군","20240512"
"주정차_신고","5","음성군","20240512"
"인도_불법","3","음성군","20240512"
"인도_불법_주정차_신고","3","음성군","20240512"
"불법주차_신고","2","음성군","20240512"
"장애인_전용구역","2","음성군","20240512"
"장애인_전용구역_불법주차_신고","2","음성군","20240512"
"전용구역_불법주차","2","음성군","20240512"
"전용구역_불법주차_신고","2","음성군","20240512"
"횡단보도_불법_주정차_신고","2","음성군","20240512"
"가로등_방향","1","음성군","20240512"
"경기도_광주시","1","음성군","20240512"
"경사_구간","1","음성군","20240512"
"교량_증축","1","음성군","20240512"
"교량_증축_시_개설","1","음성군","20240512"
"기상_이변","1","음성군","20240512"
"긴급_대비","1","음성군","20240512"
"농어촌공사_보상범위","1","음성군","20240512"
"농어촌공사_보상범위_협의","1","음성군","20240512"
"농작물_피해","1","음성군","20240512"
"대구광역시_달성군","1","음성군","20240512"
"대구광역시_달성군_유가읍_봉리","1","음성군","20240512"
"대비_배수","1","음성군","20240512"
"동네_천채","1","음성군","20240512"
"맨홀_이설","1","음성군","20240512"
"무선국_안테나","1","음성군","20240512"
"미루구_정식","1","음성군","20240512"
"배수_대책","1","음성군","20240512"
"배수_맨홀","1","음성군","20240512"
"범람_시_인근_도로","1","음성군","20240512"
"보장_요구","1","음성군","20240512"
"보호_대책","1","음성군","20240512"
"불법_부착물","1","음성군","20240512"
"어머니_거주지","1","음성군","20240512"
"어머니_주거지","1","음성군","20240512"
"유가읍_봉리","1","음성군","20240512"
"유사_시_하천물_범람","1","음성군","20240512"
"음성군청_정비사업","1","음성군","20240512"
"음성읍_한벌리","1","음성군","20240512"
"인근_교량_증축","1","음성군","20240512"
"인도_골목길","1","음성군","20240512"
"장애인주차구역_주정차위반","1","음성군","20240512"
"정상_주행","1","음성군","20240512"
"주거지_간_낭떠러지","1","음성군","20240512"
"주거지_보호","1","음성군","20240512"
"주거지_주_출입구","1","음성군","20240512"
"주행_방해","1","음성군","20240512"
"중앙탑면_탑평리","1","음성군","20240512"
"지자체_정비사업","1","음성군","20240512"
"진입_구간","1","음성군","20240512"
"차량_돌진","1","음성군","20240512"
"충북_음성군","1","음성군","20240512"
"충청북도_충주시","1","음성군","20240512"
"충청북도_충주시_중앙탑면_탑평리","1","음성군","20240512"
"퇴비공장_악취","1","음성군","20240512"
"하천_범람","1","음성군","20240512"
"한영례씨_자녀","1","음성군","20240512"
"경찰청_교통안전","19","증평군","20240512"
"국토교통부_자동차운영보험","19","증평군","20240512"
"보건복지부_장애인권익지원","19","증평군","20240512"
"불법자동차_신고","19","증평군","20240512"
"산업통상자원부_자동차","19","증평군","20240512"
"소방차전용구역_불법주차","19","증평군","20240512"
"장애인전용구역_불법주차","19","증평군","20240512"
"친환경차_충전구역","19","증평군","20240512"
"친환경차_충전구역_불법주차","19","증평군","20240512"
"행정안전부_예방안전제도과","19","증평군","20240512"
"불법_주정차","13","증평군","20240512"
"주정차_신고","12","증평군","20240512"
"불법_주정차_신고","11","증평군","20240512"
"횡단보도_불법_주정차_신고","9","증평군","20240512"
"불법주차_신고","3","증평군","20240512"
"불법_주정차_신","2","증평군","20240512"
"인도_불법","2","증평군","20240512"
"인도_불법_주정차_신고","2","증평군","20240512"
"충전구역_불법주차","2","증평군","20240512"
"충전구역_불법주차_신고","2","증평군","20240512"
"친환경차_충전구역_불법주차_신고","2","증평군","20240512"
"급정거_충격","1","증평군","20240512"
"기타_불법_주정차_신고","1","증평군","20240512"
"난폭운전_신고","1","증평군","20240512"
"대전광역시_유성구","1","증평군","20240512"
"대전광역시_유성구_방동_산","1","증평군","20240512"
"도색_요청","1","증평군","20240512"
"등기구_점등","1","증평군","20240512"
"등기구_점등_불량","1","증평군","20240512"
"버스_차량","1","증평군","20240512"
"보수_요청","1","증평군","20240512"
"비포장구간_아스콘","1","증평군","20240512"
"비포장구간_아스콘_포장","1","증평군","20240512"
"야간운행_시_사고","1","증평군","20240512"
"왼쪽_갓길","1","증평군","20240512"
"인천광역시_부평구","1","증평군","20240512"
"임시_보양","1","증평군","20240512"
"장애인_전용구역","1","증평군","20240512"
"장애인_전용구역_불법주차_신고","1","증평군","20240512"
"전용구역_불법주차","1","증평군","20240512"
"전용구역_불법주차_신고","1","증평군","20240512"
"점등_불량","1","증평군","20240512"
"정비_요청","1","증평군","20240512"
"차량_내부","1","증평군","20240512"
"차량_내부_물건","1","증평군","20240512"
"후미등_등기구","1","증평군","20240512"
"후미등_등기구_점등_불량","1","증평군","20240512"
"경찰청_교통안전","14","진천군","20240512"
"국토교통부_자동차운영보험","14","진천군","20240512"
"보건복지부_장애인권익지원","14","진천군","20240512"
"불법자동차_신고","14","진천군","20240512"
"산업통상자원부_자동차","14","진천군","20240512"
"소방차전용구역_불법주차","14","진천군","20240512"
"장애인전용구역_불법주차","14","진천군","20240512"
"친환경차_충전구역","14","진천군","20240512"
"친환경차_충전구역_불법주차","14","진천군","20240512"
"행정안전부_예방안전제도과","14","진천군","20240512"
"불법주차_신고","8","진천군","20240512"
"불법_주정차","5","진천군","20240512"
"불법_주정차_신고","5","진천군","20240512"
"충전구역_불법주차","5","진천군","20240512"
"충전구역_불법주차_신고","5","진천군","20240512"
"친환경차_충전구역_불법주차_신고","5","진천군","20240512"
"주정차_신고","4","진천군","20240512"
"장애인_전용구역","3","진천군","20240512"
"장애인_전용구역_불법주차_신고","3","진천군","20240512"
"전용구역_불법주차","3","진천군","20240512"
"전용구역_불법주차_신고","3","진천군","20240512"
"인도_불법","2","진천군","20240512"
"인도_불법_주정차_신고","2","진천군","20240512"
"계도조치_부탁","1","진천군","20240512"
"규정_안내","1","진천군","20240512"
"농사물_적재","1","진천군","20240512"
"버스정류소_불법","1","진천군","20240512"
"버스정류소_불법_주정차_신고","1","진천군","20240512"
"부당_대우","1","진천군","20240512"
"부정_사용","1","진천군","20240512"
"부정적_태도","1","진천군","20240512"
"스티커_부정","1","진천군","20240512"
"스티커_부정_사용","1","진천군","20240512"
"안전난간대_파손","1","진천군","20240512"
"외모적_지적","1","진천군","20240512"
"자전거_인도","1","진천군","20240512"
"정신적_스트레스","1","진천군","20240512"
"차별_대우","1","진천군","20240512"
"횡단보도_불법_주정차_신고","1","진천군","20240512"
"경찰청_교통안전","59","충주시","20240512"
"국토교통부_자동차운영보험","59","충주시","20240512"
"보건복지부_장애인권익지원","59","충주시","20240512"
"불법자동차_신고","59","충주시","20240512"
"산업통상자원부_자동차","59","충주시","20240512"
"소방차전용구역_불법주차","59","충주시","20240512"
"장애인전용구역_불법주차","59","충주시","20240512"
"친환경차_충전구역","59","충주시","20240512"
"친환경차_충전구역_불법주차","59","충주시","20240512"
"행정안전부_예방안전제도과","59","충주시","20240512"
"불법_주정차","41","충주시","20240512"
"불법_주정차_신고","41","충주시","20240512"
"주정차_신고","34","충주시","20240512"
"횡단보도_불법_주정차_신고","16","충주시","20240512"
"소화전_불법_주정차_신고","10","충주시","20240512"
"인도_불법","7","충주시","20240512"
"인도_불법_주정차_신고","7","충주시","20240512"
"불법주차_신고","6","충주시","20240512"
"장애인_전용구역","5","충주시","20240512"
"충전구역_불법주차","4","충주시","20240512"
"충전구역_불법주차_신고","4","충주시","20240512"
"친환경차_충전구역_불법주차_신고","4","충주시","20240512"
"장애인_전용구역_불법주차방해","3","충주시","20240512"
"장애인_전용구역_불법주차_신고","2","충주시","20240512"
"전용구역_불법주차","2","충주시","20240512"
"전용구역_불법주차_신고","2","충주시","20240512"
"충주호암동_마노식당","2","충주시","20240512"
"충주호암동_투썸플레이스","2","충주시","20240512"
"충청북도_청주시","2","충주시","20240512"
"충청북도_청주시_흥덕구_원평동","2","충주시","20240512"
"흥덕구_원평동","2","충주시","20240512"
"거주자_생활","1","충주시","20240512"
"거주자_생활_피해","1","충주시","20240512"
"경기도_수원시","1","충주시","20240512"
"경기도_수원시_권선구_오목천동","1","충주시","20240512"
"경기도_용인시","1","충주시","20240512"
"고장난채_방치","1","충주시","20240512"
"공공주차시설_설치","1","충주시","20240512"
"공공주차시설_설치_계획","1","충주시","20240512"
"공무원_담당자_분들","1","충주시","20240512"
"공영주차장_하이브리드","1","충주시","20240512"
"공영주차장_하이브리드_차량","1","충주시","20240512"
"구조구급비_최대_증액","1","충주시","20240512"
"국민_복지","1","충주시","20240512"
"권선구_오목천동","1","충주시","20240512"
"단체_관광객","1","충주시","20240512"
"대소원면_대소리","1","충주시","20240512"
"대소원면_상금곡","1","충주시","20240512"
"대소원면_상금곡_마을회관앞_하천","1","충주시","20240512"
"대형_사고","1","충주시","20240512"
"도로쪽_부분불법증축_확인필요","1","충주시","20240512"
"도료교통법상_횡단보도","1","충주시","20240512"
"마노식당_옆_횡단보도","1","충주시","20240512"
"마노식당_옆_횡단보도_건너편","1","충주시","20240512"
"마을회관앞_하천","1","충주시","20240512"
"무단방치차량_수거_부탁","1","충주시","20240512"
"백동민_소방사님","1","충주시","20240512"
"버스정류소_불법","1","충주시","20240512"
"버스정류소_불법_주정차_신고","1","충주시","20240512"
"번호판_오염","1","충주시","20240512"
"복지제도_확충","1","충주시","20240512"
"불법_에어","1","충주시","20240512"
"불법_에어_라이트","1","충주시","20240512"
"불법_에어라이트","1","충주시","20240512"
"불법개조_순정","1","충주시","20240512"
"사유지내_불법주차_피해","1","충주시","20240512"
"신고자_비밀","1","충주시","20240512"
"신고자_비밀_유지","1","충주시","20240512"
"심정지_환자","1","충주시","20240512"
"안개등_불법개조","1","충주시","20240512"
"안개등_불법개조_순정아님","1","충주시","20240512"
"안전_관리","1","충주시","20240512"
"안전_신고","1","충주시","20240512"
"에어_라이트","1","충주시","20240512"
"위험요소_메뉴","1","충주시","20240512"
"일대_인도_위_주","1","충주시","20240512"
"적정_주차시설","1","충주시","20240512"
"전문_응급처치","1","충주시","20240512"
"전원_지급","1","충주시","20240512"
"주거지역_도로","1","충주시","20240512"
"주거지역_인근_주상복합","1","충주시","20240512"
"주차소요_발생","1","충주시","20240512"
"주황색_깜빡이등","1","충주시","20240512"
"처우_최대_개선","1","충주시","20240512"
"처인구_양지면","1","충주시","20240512"
"추후_토사_유출발생시","1","충주시","20240512"
"충북_충주소방서","1","충주시","20240512"
"충주호_유람선","1","충주시","20240512"
"충주호암동_마노식당_옆_횡단보도","1","충주시","20240512"
"충주호암동_힐스테이트아파트","1","충주시","20240512"
"충청북도_충주시","1","충주시","20240512"
"충청북도_충주시_중앙","1","충주시","20240512"
"통신_폐_전주","1","충주시","20240512"
"펌뷸런스_대원","1","충주시","20240512"
"피해대책_요청","1","충주시","20240512"
"하이브리드_차량","1","충주시","20240512"
"현장_소방인력","1","충주시","20240512"
"화재_진압","1","충주시","20240512"
"횡단보도_위주","1","충주시","20240512"
"횡단보도_위주_10m","1","충주시","20240512"
"횡단보도_표시","1","충주시","20240512"
"횡단보도_표식","1","충주시","20240512"
"흙사태_위험","1","충주시","20240512"
"흡연_관리","1","충주시","20240512"
"흡연_관리_실태","1","충주시","20240512"
"힐스테이트아파트_후문","1","충주시","20240512"
