이체년월,2022-07,,2022-08,,2022-09,,2022-10,,2022-11,,2022-12,,2023-01,,2023-02,,2023-03,,2023-04,,2023-05,,2023-06,
통계급여세부종류,지급공통_가입자수,지급공통_이체금액,지급공통_가입자수,지급공통_이체금액,지급공통_가입자수,지급공통_이체금액,지급공통_가입자수,지급공통_이체금액,지급공통_가입자수,지급공통_이체금액,지급공통_가입자수,지급공통_이체금액,지급공통_가입자수,지급공통_이체금액,지급공통_가입자수,지급공통_이체금액,지급공통_가입자수,지급공통_이체금액,지급공통_가입자수,지급공통_이체금액,지급공통_가입자수,지급공통_이체금액,지급공통_가입자수,지급공통_이체금액
합계,5110938 ,2475262987060 ,5148094 ,2503446398850 ,5187933 ,2527256105670 ,5228603 ,2557746199050 ,5271180 ,2590023462840 ,5312359 ,2620032101120 ,5362150 ,2796322263060 ,5379562 ,2819162260460 ,5394524 ,2814225491130 ,5406472 ,2825585864690 ,5413547 ,2832559182990 ,5420129 ,2838250980900 
완전노령연금,801730 ,779149855940 ,815385 ,793661870470 ,830664 ,806341000690 ,846406 ,823971692880 ,862541 ,841207325430 ,877767 ,856909915750 ,901980 ,929641245160 ,903658 ,930606106870 ,904361 ,929076962820 ,905007 ,930935720480 ,905183 ,931551668420 ,905150 ,931497127500 
감액노령연금,2172979 ,872866350780 ,2192711 ,880814514100 ,2214009 ,887876302870 ,2235606 ,896922313680 ,2258004 ,905982023160 ,2279933 ,914329903660 ,2308976 ,973577079520 ,2314416 ,975549435820 ,2318754 ,972851327650 ,2322885 ,974475079240 ,2325936 ,975324406130 ,2328949 ,975670699290 
조기노령연금,732165 ,440743023120 ,736352 ,444030497010 ,740324 ,446883611410 ,744450 ,450232298920 ,749328 ,454011447300 ,754062 ,457540539420 ,763254 ,489035915980 ,776860 ,500895686270 ,789228 ,510678522750 ,799245 ,518792604120 ,806054 ,524440605150 ,812370 ,529642197880 
특례노령연금,1241893 ,280784640870 ,1238244 ,279996041700 ,1234102 ,279118284110 ,1229762 ,278089475050 ,1225430 ,277130718710 ,1221103 ,276145305240 ,1216394 ,289102374530 ,1211426 ,288023390520 ,1207374 ,287065518650 ,1203179 ,286086044570 ,1199107 ,285160352550 ,1194961 ,284168757660 
분할연금,62066 ,14387982870 ,63326 ,14946431310 ,64602 ,15238534080 ,65810 ,15347025360 ,67053 ,15581158110 ,68196 ,15928818220 ,69437 ,17039198870 ,70268 ,17265966070 ,71072 ,17538893650 ,71896 ,17649288350 ,72520 ,17784827940 ,73161 ,18007258200 
완전재직자노령연금,65247 ,70780684910 ,66894 ,73009740230 ,68738 ,74583835400 ,70707 ,76037462590 ,72698 ,78804280590 ,74779 ,81619676350 ,69257 ,80781157590 ,69702 ,85585985290 ,70157 ,80208306030 ,70470 ,80754365710 ,70737 ,81291481790 ,71150 ,81957976790 
감액재직자노령연금,33614 ,15366928450 ,33947 ,15776275890 ,34248 ,15961853640 ,34615 ,15914371720 ,34887 ,16093082250 ,35279 ,16336729350 ,31825 ,16051572270 ,32138 ,20045888580 ,32435 ,15567092400 ,32622 ,15649938260 ,32791 ,15702927670 ,33058 ,15891327130 
조기재직자노령연금,1244 ,1183520120 ,1235 ,1211028140 ,1246 ,1252683470 ,1247 ,1231558850 ,1239 ,1213427290 ,1240 ,1221213130 ,1027 ,1093719140 ,1094 ,1189801040 ,1143 ,1238867180 ,1168 ,1242823960 ,1219 ,1302913340 ,1330 ,1415636450 
