연도,구분,신청업체(개소),신청금액(백만원),지원업체(개소),지원금액(백만원)
2023,미래환경산업육성자금(환경산업),377,526837,204,179298.2
2023,미래환경산업육성(녹색전환),91,80558,75,40647.8
2023,청정대기전환시설자금,7,78185,8,39103
2023,친환경설비투자,73,228994,39,62694
2022,미래환경산업육성자금(환경산업),300,315405,238,193663
2022,미래환경산업육성(녹색전환),127,110023,109,79970
2022,청정대기전환시설자금,11,102328,15,54875
2022,친환경설비투자,48,95629,26,28830
2021,미래환경산업육성자금(환경산업),587,499622,427,300000
2021,미래환경산업육성(녹색전환),217,138387,143,73449
2021,청정대기전환시설자금,18,119123,16,85658
2020,환경산업육성자금,139,79085,88,43483
2020,환경개선자금,193,93015,127,49633
2020,재활용산업육성자금,485,330669,283,163365
2020,천연가스공급시설설치자금,4,2331,2,1285
2019,환경산업육성자금,183,123290,103,45395
2019,환경개선자금,171,122259,112,62000
2019,재활용산업육성자금,603,308092,307,127952
2019,천연가스공급시설설치자금,4,7660,2,987
2018,환경산업육성자금,164,105322,84,45500
2018,환경개선자금,184,105408,127,56873
2018,재활용산업육성자금,500,260747,283,128365
2018,천연가스공급시설설치자금,6,8139,2,659
2017,환경산업육성자금,176,99511,93,41877
2017,환경개선자금,223,143098,136,62000
2017,재활용산업육성자금,678,348343,337,132936
2017,천연가스공급시설설치자금,4,5144,4,4900
2016,환경산업육성자금,171,110833,89,45500
2016,환경개선자금,235,104454,145,62000
2016,재활용산업육성자금,526,260961,260,103556
2016,천연가스공급시설설치자금,4,7634,3,4900
2015,환경산업육성자금,188,134823,95,45500
2015,환경개선자금,191,82400,144,55862
2015,재활용산업육성자금,446,262376,230,103617
2015,천연가스공급시설설치자금,7,7332,7,4716
2014,환경산업육성자금,137,90858,47,23396
2014,환경개선자금,170,61133,109,34663
2014,재활용산업육성자금,255,155030,152,74959
2013,환경산업육성자금,71,37317,32,14000
2013,환경개선자금,127,74407,93,43422
2013,재활용산업육성자금,197,145261,142,73000
2012,환경산업육성자금,49,24017,29,10000
2012,환경개선자금,164,81061,122,40000
2012,재활용산업육성자금,258,157443,135,65000
2011,환경산업육성자금,41,22670,24,10000
2011,환경개선자금,140,80214,96,40000
2011,재활용산업육성자금,200,161205,114,65000
2010,환경산업육성자금,65,27960,28,10000
2010,환경개선자금,117,93096,68,45700
2010,재활용산업육성자금,256,201517,98,65000
2009,환경산업육성자금,16,11000,16,10000
2009,환경개선자금,162,142786,93,60000
2009,재활용산업육성자금,329,251482,112,65000
